Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_Short,SMA_Long,Signal,Portfolio_Value
2023-11-01 00:00:00-04:00,408.6389571260531,412.83061379639145,408.10279562252936,412.01177978515625,98068100,0.0,0.0,0.0,,,0,50000
2023-11-02 00:00:00-04:00,415.8330307293069,420.0637180038268,415.813545304772,419.9077453613281,94938900,0.0,0.0,0.0,,,0,50000
2023-11-03 00:00:00-04:00,422.2277700758668,425.29840509845803,422.1010404505435,423.73870849609375,100167800,0.0,0.0,0.0,,,0,50000
2023-11-06 00:00:00-05:00,424.499042329037,425.16190369457485,422.7541301400226,424.7135009765625,67831700,0.0,0.0,0.0,,,0,50000
2023-11-07 00:00:00-05:00,424.7134905447946,426.5656171377113,423.5632258948368,425.9222412109375,64256100,0.0,0.0,0.0,,,0,50000
2023-11-08 00:00:00-05:00,426.5265914406681,427.05299530408985,423.91411704236504,426.2341613769531,61746000,0.0,0.0,0.0,,,0,50000
2023-11-09 00:00:00-05:00,427.3844848158496,427.42348541262743,422.48120841408235,422.9101257324219,83174400,0.0,0.0,0.0,,,0,50000
2023-11-10 00:00:00-05:00,424.99619191806926,429.8214667358813,422.9003339303596,429.509521484375,89462200,0.0,0.0,0.0,,,0,50000
2023-11-13 00:00:00-05:00,428.16429169782634,430.21136165399025,427.37470077216653,429.10009765625,52236100,0.0,0.0,0.0,,,0,50000
2023-11-14 00:00:00-05:00,435.07570025554276,438.7214675155069,434.85148402212064,437.42498779296875,97176900,0.0,0.0,0.0,425.1472869873047,,0,50000
2023-11-15 00:00:00-05:00,438.77017287083856,440.00819625936805,437.49317863842754,438.35101318359375,77327600,0.0,0.0,0.0,427.7812103271484,,0,50000
2023-11-16 00:00:00-05:00,437.90261234986747,439.2088495951082,436.8303191638532,438.8871765136719,66665800,0.0,0.0,0.0,429.6791534423828,,0,50000
2023-11-17 00:00:00-05:00,438.8969134726528,440.0472078681417,437.9708650531433,439.4330749511719,83133200,0.0,0.0,0.0,431.24859008789065,,0,50000
2023-11-20 00:00:00-05:00,439.1796343511977,443.6637508451693,439.16987676520114,442.815673828125,69936200,0.0,0.0,0.0,433.0588073730469,,0,50000
2023-11-21 00:00:00-05:00,441.76285691154857,442.68893510004267,440.5735916452,441.8505859375,49244600,0.0,0.0,0.0,434.6516418457031,,0,50000
2023-11-22 00:00:00-05:00,443.5175171922335,444.8822404813006,442.45498156900504,443.5564880371094,59394900,0.0,0.0,0.0,436.3838745117188,,0,50000
2023-11-24 00:00:00-05:00,443.60525077494174,444.0244104771882,443.27382009767217,443.8294372558594,29737400,0.0,0.0,0.0,438.4758056640625,,0,50000
2023-11-27 00:00:00-05:00,443.1958518437672,444.01468588647003,442.6402048955527,443.0301513671875,50506000,0.0,0.0,0.0,439.82786865234374,,0,50000
2023-11-28 00:00:00-05:00,442.6401889183708,444.77501785393656,442.07481415289016,443.4687805175781,62115000,0.0,0.0,0.0,441.2647369384766,,0,50000
2023-11-29 00:00:00-05:00,445.63287770336626,446.77341463372636,442.75721578278245,443.1568603515625,63146000,0.0,0.0,0.0,441.8379241943359,433.4926055908203,0,50000
